study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Silva IC, 2021",Archivos Venezolanos de Farmacologia y Terapeutica,03/01/2020,12/15/2020,Venezuela,LMIC,South America,South America,Case Series,Hospital,145,,63.8,Mean,50,All combined,Yes,No,102,,32,,,,,,,,,Culture,Blood and other cultures,Yes,"blood, other",multiple,145,11,,,,,,Yes,No,No,,,11,11,,,27,27,16,,,,,,,,11,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,1,,,,,,2,1,,,,1,,,,,,5,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,,,micrococcus kristinae = 1,,,79,No or unclear,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,5,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Smith L, 2021",Infect Control Hosp Epidemiol,03/01/2020,05/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,829,,62,Median,391,All combined,Yes,No,,,80,,34,,74,,,61,"mmunocompromising conditions includes HIV/AIDS, receipt of biologics, prednisone 20mg daily for > 2 weeks, chemotherapy within 6 months, and solid organ or hematopoietic stem cell transplant.",Culture,supplemenary table 2,Yes,"resp, blood, urine",multiple,963,,49,,,6,,Yes,Yes,No,6,,43,49,6,11,55,72,24,1,28,5,18,,2,,,,,,,,,17,6,11,,,,6,6,,,,,,,,,,6,3,,2,1,,,,,,,,,5,,2,3,,,,,,,,13,5,6,2,,,,,,,,8,,1,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,4,,,2,,2,,,,,,,,,,,1,,,,,,,2,1,,1,,,,,,3,5,1,,3,1,,,,,,,4,1,,,,22,,631,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,,,,,,,,,,,,,Secondary,Y,,N,Y
"Somers E, 2020",Clinical Infectious Diseases,03/09/2020,04/20/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital ICU,154,,58,Mean/Average,52,Critical,Yes,No,,154,,,29,,25,,,9,SOT,Culture,All positive blood and respiratory cultures were assessed by an infectious diseases physician to adjudicate infection versus colonization,Yes,"resp, blood",multiple,154,,62,,,,,Yes,Yes,No,,,62,62,21,21,47,89,18,1 MRSA,71,"12 MRSA, 7 MDR Pseudomonas, 1 ESBL E Coli",,,,,,,,,,,,34,2,32,,,,13,13,,2,,2,,,,,,5,5,,,,,,1,,1,,,,10,,10,,,,7,,,,7,10,1,9,,,,,,,,,6,1,5,,,,1,1,,,,2,,2,,,,,,,,2,1,1,,,,,,,,7,7,,,1,,1,,,,,,,,,,,2,,2,,,,,3,,3,,,,,,,1,2,,2,,,,,,,,,,1,,,Corynebacterium striatum=1,38,78,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,Yes,o difference in 28-day case fatality rate among tocilizumab-treated patients with versus without superinfection (22% vs 15%; P = .42),No,No,,,,,,,,,,Secondary,Y,,N,Y
"Son H-J, 2021",Am J Infect Control,02/01/2020,05/01/2020,South Korea,HIC,Asia,Western Pacific,Retrospective Cohort,Hospital,152,,73,Median,85,All combined,Yes,No,,18,27,,,15,31,,6,2,hiv,Culture,"MDROs were defined as seven antibiotic-resistant organisms, including methicillin-resistant Staphylococcus aureus (MRSA), vancomycin-resistant enterococci (VRE), extended-spectrum beta-lactamase (ESBL) producing enterobacteriaceae, carbapenem-resistant enterobacteriaceae (CRE), carbapenem-resistant Acinetobacter baumannii (CRAB), carbapenem-resistant Pseudomonas aeruginosa (CRPA), and Stenotrophomonas maltophilia",No,"resp, blood, urine",multiple,152,,,17,,,13,Yes,Yes,Yes,13,4,,17,20,5,,25,2,2,19,16,4,2,,,,,,,,,,4,,4,,,,4,4,,,,,,,,,,3,2,,1,,,2,,,,,,,3,,2,1,,,,,3,,,2,,2,,,,,1,,,,3,,1,2,,,2,1,1,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,1,1,"Rahnella aquatilis =1, nontuberculous mycobacteria =1",32,,113,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,low,8,No,,,,,,,,,,,,,Unspecified,Y,,Y,Y
"Stevens R, 2021 (1)",JAC Antimicrob Resist,03/01/2020,11/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,654,,63.6,Mean,289,All combined,Yes,No,,72,223,,,226,233,25,,80,Immunocompromised,Culture,A confirmed respiratory bacterial infection was defined by the isolation of a pathogen from a respiratory tract culture.,Yes,resp,resp,654,,,49,,,,Yes,Yes,No,6,21,22,49,6,21,37,64,,,64,6 MRSA,,,,,,,,,,,,27,,27,,,,6,6,,1,,1,,,,,,,,,,,,,3,,3,,,,7,,7,,,,,,,,,8,,8,,,,,,,,,3,,3,,,,,,,,,3,,3,,,,,,,,3,,3,,,,,,,,,,,,1,,1,,,,,,,,,,,4,,4,,,,,3,,3,,,,,,,,,,,,,,,,,,,1,,,,Pantoea spp=1,,,248,Yes,Yes,Yes,Yes,Yes,No,Yes,No or unclear,Yes,Yes,low,8,No,,,,,,,,,,,,,Unspecified,Y,,N,Y
"Stevens R, 2021 (2)",Infect Control Hosp Epidemiol,03/01/2020,04/28/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital/Outpatients,346,,45,Mean,176,All combined,Yes,No,,,15,,,,52,,10,10,,Culture,,No,resp,resp,346,,,1,,,,Yes,Yes,Yes,0,1,,1,0,1,,1,,,1,,,,,,,,,,,,,1,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,moderate,7,No,,,,,,,,,,,,,Unspecified,Y,,Y,Y
"Suarez-de-la-Rica, 2021",Rev Esp Quimioter ,03/16/2020,05/17/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,107,"Critically ill, on MV",62.2,Mean,31,Critical,Yes,No,107,107,107,,,4,21,,11,1,hiv,Culture,VAP and nosocomial bacteremia,Yes,"resp, blood",multiple,107,,46,,,17,,Yes,Yes,Yes,17,,29,46,17,22,33,72,37,,35,,,,,,,,,,,,,14,6,8,,,,5,5,,,,,,,,,,19,19,0,,,,0,,,,,,,13,2,11,,,,,,0,,,14,5,9,,,,,,1,,,8,4,4,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,,,,,,,,,,,,,,,,,,,1,,,82,50,,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,"Bacteremia and VAP associated with higher mortality, bacteremia (85.3% vs. 61.6%, p=0.014),
VAP (82.9% vs. 62.5%, p=0.044), and in patients infected by ARP
(94.1 % vs. 64.4%, p=0.020)",N/A,No,,,,,,,,,,Secondary,Y,,Y,Y
"Sulaiman I, 2021",Nat Microbiol,03/03/2020,06/18/2020,United States,HIC,North America,North America,Propsective Cohort,Hospital ICU,589,,65,Median,166,Critical,Yes,No,,589,589,184,21,71,179,,49,56,"leukemia, lymphoma, HIV",Culture,"Full cohort, culture data",No,"resp, blood",multiple,589,,,,,,58,Yes,Yes,No,,,,,58,60,225,343,97,11,246,47,,,,,,,,,,,,118,97,101,,,,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,32,,,,,,,,,32,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,19,,19,,,,,20,5,15,,,,,,,,,,,,,,,,,,,,,226,,,315,229,581,Yes,No or unclear,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,6,No,,,,,,,,,,,,,Unspecified,N,,N,Y
"Tang H, 2021",Microb Pathog,01/01/2020,10/01/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital,142,,48.7,Weighted Mean,58,All combined,Yes,No,,21,,15,,6,6,,3,,,Culture,sputum,Yes,resp,resp,142,,21,,,,,Yes,No,No,,,21,21,,,35,35,,,35,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,4,,4,,,,,1,,1,,,,6,,6,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,7,No,,,,,,,,,,,,,Secondary,Y,,N,N
"Tayyab N, 2021",Pakistan Armed Forces Med J,04/01/2020,07/01/2020,Pakistan,LMIC,Asia,Eastern Mediterranean,Cross-sectional study,Hospital ICU,114,Hospital ICU,58,Mean,14,Critical,Yes,No,,,114,,,,47,,,,,Culture,"ETT for those who met criteria for VAP, paired blood cx from those with suspected BSI",Yes,"resp, blood",multiple,114,,,,,,,Yes,Yes,Yes,,,,,84,7,13,104,43,,61,,,,,,,,,,,,,2,1,1,,,,2,2,,,,,,,,,,9,6,3,,,,2,,,,,,,2,0,2,,,,,,,,,26,10,16,,,,26,26,25,26,26,5,2,3,,,,,,,,,54,22,32,,,,54,54,18,54,,,,,,,,,,,2,,2,,2,1,1,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No or unclear,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,moderate,5,No,,,,,,,,,,,,,Secondary,N,,Y,Y
"Temperoni C, 2021",Antibiotics,02/01/2021,05/31/2021,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,89,,67.1,Median,23,Critical,Yes,No,,89,89,,,,17,,,,,Culture,"VAP, BSI, CAUTI",Yes,"resp, blood, urine",multiple,89,,,,,37,,Yes,Yes,Yes,,,,,37,25,3,65,,,,,,,,,,,,,,,,12,,,,,,4,4,,,,,,,,,,8,,,,,,,,,,,,,5,,,,,,5,,4,,1,9,,,,,,6,3,,,3,4,,,,,,2,2,,,,12,,,,,,12,,,12,7,,,,,5,,,,5,,,,,1,,,,,,1,1,,,,,,2,,,,,,0,3,,,,,1,1,,,,1,,,,,,0,,,,,1,,,1,morganella morganii = 1,,,51,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,,,,,,,,,,,,,Secondary,N,,Y,Y
"Thelen JM, 2021",BMC Infect Dis,02/28/2020,06/02/2020,Netherlands,HIC,Europe,Europe,Retrospective Cohort,Hospital/Outpatient,678,,70,Median,235,All combined,Yes,No,,,,,,,,,,,,Culture,Blood culture,Yes,blood,blood,678,7,,,,,,Yes,No,No,,,7,7,,,7,7,7,,,,,,,,,,,,,,,1,1,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,8,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Townsend L, 2020",JAC Antimicrob Resist,03/01/2020,04/30/2020,Ireland,HIC,Europe,Europe,Retrospective Cohort,Hospital,117,,66,Median,43,All combined,Yes,No,,,34,,,,,,,,,Culture + Urine Ag,"sputum culture (either self-expectorated or endotracheal aspirate), blood cultures and urinary antigen testing for Streptococcus pneumoniae and Legionella pneumophila. Bronchoalveolar lavage was not carried out on SARS-CoV-2-positive patients at our institution. PCR for alternative viral pathogens including influenza A and influenza B was not performed.",No,"resp, blood, urine",multiple,117,95,,,,,,Yes,No,No,,,95,95,,,14,14,5,,7,,2,,,,,,,,,,,3,2,1,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,2,,2,,,,,,,,,5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,95,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,low,9,No,-,-,-,,,,,,,,,,Co-infection,Y,,N,N
"Vanhomwegen C, 2021",Irish Journal of Medical Science,03/02/2020,06/02/2020,Belgium,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,66,,61,Median,25,Critical,Yes,No,,,66,,4,,21,,11,8,,Culture,"positive culture for a bacterial pathogen obtained from lower respiratory tract collections (sputum, endotracheal aspirate, or bronchoalveolar lavage fluid) or blood samples within 48 h of ICU admission",Yes,"resp, blood",multiple,66,7,,,,,,No,No,No,,,7,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,Co-infection was not associated with increased mortality rate; 5/7 (71%) patients with bacterial co-infection were alive at 30 days upon ICU admission (p =0.89),No,No,,,,,,,,,,Co-infection,Y,,N,N
"Vaughn VM, 2021",Clinical Infectious Diseases,03/13/2020,06/18/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,1705,,64.7,Median,820,All combined,Yes,No,,116,185,,200,,,57,,166,immunosuppressive meds=166,Culture + Urine Ag. Culture + Urine Ag + NAAT,") blood or respiratory culture positive for a typically pathogenic bacterium (for a list of excluded contaminants, see the Supplementary Appendix), (2) positive Legionella pneumophila or Streptococcus pneumonia antigen, or (3) positive Mycoplasma pneumonia or Chlamydophila pneumonia PCR test",Yes,"resp, blood",multiple,1705,59,,,,,,No,No,No,,,59,59,,,60,60,31,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,"Compared with patients without a confirmed community-onset bacterial infection, those with a confirmed infection had a longer length of stay (median, 7 [IQR, 4â€“10]vs 5 [3â€“8] days; P = .003) and had higher in-hospital mortality(47.5% [28/71] vs 18.0% [297/1634]; P < .001).","Compared with patients without a confirmed community-onset bacterial infection, those with a confirmed infection had a longer length of stay (median, 7 [IQR, 4â€“10]vs 5 [3â€“8] days; P = .003) and had higher in-hospital mortality(47.5% [28/71] vs 18.0% [297/1634]; P < .001).",No,,,,,,,,,,Co-infection,Y,,N,N
"Vijay S, 2021",Infect Drug Resist,06/01/2020,08/01/2020,India,LMIC,Asia,South-East Asia,Retrospective Cohort,Hospital,17534,,,,,All combined,Yes,No,,,,,,,,,,,,Culture,"All clinical samples including respiratory specimens, blood, urine, pus and other samples like deep wound were collected and processed. All these hospitals performed routine microbiological investigations including collection and culture of specimens",No,"resp, blood, urine, other",multiple,17534,,,640,,,,Yes,Yes,Yes,,,640,640,503,100,323,926,402,,338,,73,,,,113,,,,,,,33,17,10,0,,6,13,13,,,,,,,,,,73,39,0,15,,19,23,,,,,,,97,18,53,11,,15,,,,,,295,132,125,17,,21,271,271,233,227,,83,27,7,25,,24,,,,,,212,98,98,0,,16,196,196,191,,,,,,,,,,,,35,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,6,No,,,,,,,,,,,,,Unspecified,Y,,Y,Y
"Wang L, 2021",J Antimicrob Chemother,03/01/2020,04/30/2020,United Kingdom,HIC,Europe,Europe,Retrospective Cohort,Hospital,1396,,67.4,Mean/Average,493,All combined,Yes,No,,,226,,92,,511,,,,,Culture + Urine Ag,"blood culture, sputum culture, urine culture, urinary Ag tests",Yes,"resp, blood, urine, other",multiple,1396,37,,,,,,Yes,Yes,No,4,7,26,37,5,8,39,52,12,1 MRSA,11,1 ESBL E Coli,16,1 ESBL E Coli,12,2 ESBL E Coli,1,,,,,,,9,2,4,,2,1,1,1,,3,,3,,,,,,2,,,2,,,,1,,1,,,,2,1,1,,,,,,,,,5,2,,2,1,,,,,,,12,2,1,6,3,,4,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,3,4,4,,,,,,,,,,2,,2,,"Bacteroides ovatus=1, anaerobe=1, Granulicatella adiacens=1, coliform=1",,,134,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,"There was no significant difference in 30 day all-cause mortality in those with and withoutbacterial co-infection (27% vs 30.2%, p=0.68 respectively)",No,No,,,,,,,,,,Co-infection,Y,,N,Y
"Yang X, 2020",Lancet Respir Med,"late Dec, 2019",01/26/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital ICU,52,,59.7,Mean,17,Critically Ill,Yes,No,35,43,52,2,4,5,9,,2,,,Culture,"HAP, bacteremia, UTI",No,"resp, blood, urine",multiple,52,,4,,,,,Yes,Yes,Yes,3,1,0,4,4,1,0,5,1,1 CRE Kleb,4,"1 CRE Kleb, 1 ESBL Kleb, 1 ESBL Psa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,,3,1,2,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,30,,49,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,moderate,6,No,-,-,-,,,,,,,,,,Secondary,Y,,Y,Y
"Yarden Bilavski H, 2021",Acta Paediatr,03/10/2020,01/10/2021,Israel,HIC,Asia,Europe,Propsective Cohort,Hospital,75,Febrile infants up to 60 days old,0.1,Median,37,mild/moderate,Yes,No,,0,0,,,,,,,,,Culture,"Laboratory data comprised complete blood count parameters, CRP, blood, urine and cerebrospinal cultures.",No,"resp, blood, urine, other",multiple,75,,8,,,,,No,No,No,,,8,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Secondary,Y,,N,N
"Yoke LH, 2021",Open Forum Infect Dis,02/28/2020,07/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital/Outpatient,71,,61,median,39,All combined,Yes,No,,,9,34,2,11,9,3,71,19,counted chemotherapy in <30 d,Culture,A coinfection was defined as detection of pathogen by diagnostic tests including respiratory bacterial cultures,No,resp,resp,71,3,,,,,,Yes,No,No,,,3,3,,,3,3,,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Yu D, 2020",PLoS One,03/01/2020,04/30/2020,Sweden,HIC,Europe,Europe,Retrospective Cohort,Hospital,2240,,64,mean,790,not specified,Yes,No,,,,,,,,,,,,Culture,Blood cultures collected from patients with COVID-19 and controls were analyzed retrospectively,Yes,blood,blood,2240,,,,,,,Yes,Yes,Yes,,,,,10,109,104,223,223,,,,,,,,,,,,,,,44,44,,,,,,3,,3,,,,,,,,23,23,,,,,0,,,,,,,7,7,,,,,,,,,,13,13,,,,,0,,,,,34,34,,,,,,6,,,,0,,,,,,,,,,5,5,,,,,1,,,,49,49,,,1,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,28,2,2,,,,,,,,,,5,7,,,,,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,,,,,,,,,,,,,Secondary,N,,Y,Y
"Zhang G, 2020",Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,01/02/2020,02/10/2020,China,LMIC,Asia,Western Pacific,Case Series,Hospital,221,,55,median,113,All combined,Yes,No,48,26,44,,6,22,22,5,9,3,,Culture + NAAT,"Respiratory specimens were tested for other respiratory viruses including influenza A (H1N1, H7N9) and B virus, respiratory syncytial virus, parainfluenza virus, adenovirus, and other pathogens (mycoplasma, chlamydia and legionella pneumophila) by real-time RTÂ­PCR. Routine bacterial and fungal examinations were also performed by conventional microbial culture",No,resp,resp,221,,,17,,,,Yes,Yes,No,9,,8,17,9,,8,17,,,17,9 CRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,moderate,7,No,-,-,-,,,,,,,,,,Unspecified,Y,,N,Y
